candidate_id,name,country,macro_region,state_or_area,district_or_area,proposed_location_type,proposed_vibe_1,proposed_vibe_2,proposed_vibe_3,priority_tier,verification_status,notes,normalized_location_type,normalized_vibe_1,normalized_vibe_2,normalized_vibe_3,trip_style_tags,context_tags,caution_tags,destination_scale_hint,normalisation_notes,promotion_status
CAND-0001,Neemrana,India,North India,Rajasthan,Alwar,heritage_town,heritage,fort,weekend,tier_1,candidate,Delhi/NCR weekend heritage candidate,heritage_town,heritage,forts,,weekend_getaway,,,,vibe:fort->forts;vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0002,Bikaner,India,North India,Rajasthan,Bikaner,heritage_city,heritage,desert,food,tier_1,candidate,Rajasthan heritage expansion,heritage_city,heritage,desert,food,,,,,,dedupe_pending
CAND-0003,Mount Abu,India,North India,Rajasthan,Sirohi,hill_station,hills,spiritual,family,tier_1,candidate,Rajasthan hill station candidate,hill_station,hills,spiritual,family,,,,,,dedupe_pending
CAND-0004,Chittorgarh,India,North India,Rajasthan,Chittorgarh,fort_town,heritage,fort,history,tier_1,candidate,Major fort/heritage destination,fort_town,heritage,forts,history,,,,,vibe:fort->forts,dedupe_pending
CAND-0005,Kumbhalgarh,India,North India,Rajasthan,Rajsamand,fort_town,heritage,fort,nature,tier_1,candidate,Heritage plus resort candidate,fort_town,heritage,forts,nature,,,,,vibe:fort->forts,dedupe_pending
CAND-0006,Bundi,India,North India,Rajasthan,Bundi,heritage_town,heritage,slow_travel,architecture,tier_2,candidate,Smaller Rajasthan heritage town,heritage_town,heritage,slow_travel,architecture,,,,,,dedupe_pending
CAND-0007,Sariska,India,North India,Rajasthan,Alwar,wildlife_reserve,wildlife,safari,nature,tier_1,candidate,Wildlife candidate near NCR,wildlife_reserve,wildlife,safari,nature,,,,,,dedupe_pending
CAND-0008,Alwar,India,North India,Rajasthan,Alwar,heritage_city,heritage,fort,weekend,tier_2,candidate,NCR-accessible heritage candidate,heritage_city,heritage,forts,,weekend_getaway,,,,vibe:fort->forts;vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0009,Ajmer,India,North India,Rajasthan,Ajmer,pilgrim_city,spiritual,culture,heritage,tier_1,candidate,Pilgrimage and Pushkar circuit candidate,pilgrim_city,spiritual,culture,heritage,,,,,,dedupe_pending
CAND-0010,Nawalgarh,India,North India,Rajasthan,Jhunjhunu,heritage_town,heritage,architecture,slow_travel,tier_2,candidate,Shekhawati fresco town candidate,heritage_town,heritage,architecture,slow_travel,,,,,,dedupe_pending
CAND-0011,Mandawa,India,North India,Rajasthan,Jhunjhunu,heritage_town,heritage,architecture,slow_travel,tier_2,candidate,Shekhawati candidate,heritage_town,heritage,architecture,slow_travel,,,,,,dedupe_pending
CAND-0012,Deeg,India,North India,Rajasthan,Bharatpur,heritage_town,palace,heritage,gardens,tier_2,candidate,Bharatpur/Mathura circuit candidate,heritage_town,palace,heritage,gardens,,,,,,dedupe_pending
CAND-0013,Bharatpur,India,North India,Rajasthan,Bharatpur,birding_site,wildlife,birding,nature,tier_1,candidate,Bird sanctuary candidate,birding_site,wildlife,birding,nature,,,,,,dedupe_pending
CAND-0014,Shekhawati Region,India,North India,Rajasthan,Shekhawati,heritage_region,heritage,architecture,slow_travel,tier_2,candidate,Regional heritage circuit candidate,heritage_region,heritage,architecture,slow_travel,,,,,,dedupe_pending
CAND-0015,Sawai Madhopur,India,North India,Rajasthan,Sawai Madhopur,gateway_city,wildlife,gateway,family,tier_1,candidate,Ranthambore gateway candidate,gateway_city,wildlife,family,,,gateway_context,,,vibe:gateway->context,dedupe_pending
CAND-0016,Mathura,India,North India,Uttar Pradesh,Mathura,pilgrim_city,spiritual,culture,pilgrimage,tier_1,candidate,Major pilgrimage circuit candidate,pilgrim_city,spiritual,culture,pilgrimage,,,,,,dedupe_pending
CAND-0017,Vrindavan,India,North India,Uttar Pradesh,Mathura,pilgrim_town,spiritual,pilgrimage,culture,tier_1,candidate,Major pilgrimage candidate,pilgrim_town,spiritual,pilgrimage,culture,,,,,,dedupe_pending
CAND-0018,Ayodhya,India,North India,Uttar Pradesh,Ayodhya,pilgrim_city,spiritual,pilgrimage,culture,tier_1,candidate,Major pilgrimage candidate requiring current crowd/logistics check,pilgrim_city,spiritual,pilgrimage,culture,,,,,,dedupe_pending
CAND-0019,Prayagraj,India,North India,Uttar Pradesh,Prayagraj,spiritual_city,spiritual,history,culture,tier_1,candidate,Spiritual/heritage city candidate,spiritual_city,spiritual,history,culture,,,,,,dedupe_pending
CAND-0020,Chitrakoot,India,North India,Uttar Pradesh/MP,Chitrakoot,pilgrim_region,spiritual,nature,slow_travel,tier_2,candidate,UP/MP pilgrimage nature circuit candidate,pilgrim_region,spiritual,nature,slow_travel,,,,,,dedupe_pending
CAND-0021,Sarnath,India,North India,Uttar Pradesh,Varanasi,heritage_site,buddhist,heritage,spiritual,tier_1,candidate,Varanasi circuit candidate,heritage_site,buddhist,heritage,spiritual,,,,,,dedupe_pending
CAND-0022,Kushinagar,India,North India,Uttar Pradesh,Kushinagar,heritage_site,buddhist,spiritual,history,tier_2,candidate,Buddhist circuit candidate,heritage_site,buddhist,spiritual,history,,,,,,dedupe_pending
CAND-0023,Dudhwa,India,North India,Uttar Pradesh,Lakhimpur Kheri,national_park,wildlife,nature,safari,tier_2,candidate,Wildlife candidate,national_park,wildlife,nature,safari,,,,,,dedupe_pending
CAND-0024,Fatehpur Sikri,India,North India,Uttar Pradesh,Agra,heritage_site,heritage,architecture,history,tier_1,candidate,Agra circuit candidate,heritage_site,heritage,architecture,history,,,,,,dedupe_pending
CAND-0025,Noida,India,North India,Uttar Pradesh,Gautam Buddha Nagar,city,urban,business,food,tier_3,candidate,NCR urban candidate,city,urban,business,food,,,,,,dedupe_pending
CAND-0026,Kanpur,India,North India,Uttar Pradesh,Kanpur,city,urban,food,history,tier_3,candidate,Urban expansion candidate,city,urban,food,history,,,,,,dedupe_pending
CAND-0027,Moradabad,India,North India,Uttar Pradesh,Moradabad,city,craft,shopping,culture,tier_3,candidate,Craft/industrial city candidate,city,craft,shopping,culture,,,,,,dedupe_pending
CAND-0028,Aligarh,India,North India,Uttar Pradesh,Aligarh,city,history,education,urban,tier_3,candidate,Urban candidate,city,history,education,urban,,,,,,dedupe_pending
CAND-0029,Bareilly,India,North India,Uttar Pradesh,Bareilly,city,food,culture,urban,tier_3,candidate,Urban candidate,city,food,culture,urban,,,,,,dedupe_pending
CAND-0030,Meerut,India,North India,Uttar Pradesh,Meerut,city,history,urban,food,tier_3,candidate,NCR expansion candidate,city,history,urban,food,,,,,,dedupe_pending
CAND-0031,Dehradun,India,North India,Uttarakhand,Dehradun,city_gateway,gateway,hills,family,tier_1,candidate,Uttarakhand gateway candidate,city_gateway,hills,family,,,gateway_context,,,vibe:gateway->context,dedupe_pending
CAND-0032,Auli,India,North India,Uttarakhand,Chamoli,mountain_resort,snow,ski,mountains,tier_1,candidate,Snow/ski candidate,mountain_resort,snow,ski,mountains,,,,,,dedupe_pending
CAND-0033,Chopta,India,North India,Uttarakhand,Rudraprayag,mountain_region,mountains,trekking,nature,tier_2,candidate,Trek/highland candidate,mountain_region,mountains,trekking,nature,,,,,,dedupe_pending
CAND-0034,Lansdowne,India,North India,Uttarakhand,Pauri Garhwal,hill_station,hills,slow_travel,family,tier_1,candidate,Family hill station candidate,hill_station,hills,slow_travel,family,,,,,,dedupe_pending
CAND-0035,Ranikhet,India,North India,Uttarakhand,Almora,hill_station,hills,family,slow_travel,tier_1,candidate,Kumaon hill station candidate,hill_station,hills,family,slow_travel,,,,,,dedupe_pending
CAND-0036,Kausani,India,North India,Uttarakhand,Bageshwar,hill_town,hills,mountains,slow_travel,tier_2,candidate,Mountain view candidate,hill_town,hills,mountains,slow_travel,,,,,,dedupe_pending
CAND-0037,Mukteshwar,India,North India,Uttarakhand,Nainital,hill_town,hills,slow_travel,nature,tier_2,candidate,Kumaon candidate,hill_town,hills,slow_travel,nature,,,,,,dedupe_pending
CAND-0038,Binsar,India,North India,Uttarakhand,Almora,forest_region,forest,hills,nature,tier_2,candidate,Nature/forest candidate,forest_region,forest,hills,nature,,,,,,dedupe_pending
CAND-0039,Almora,India,North India,Uttarakhand,Almora,hill_town,hills,culture,slow_travel,tier_2,candidate,Kumaon cultural hill candidate,hill_town,hills,culture,slow_travel,,,,,,dedupe_pending
CAND-0040,Valley of Flowers,India,North India,Uttarakhand,Chamoli,national_park,trekking,flowers,mountains,tier_2,candidate,Seasonal trek candidate,national_park,trekking,flowers,mountains,,,,,,dedupe_pending
CAND-0041,Kedarnath,India,North India,Uttarakhand,Rudraprayag,pilgrim_region,spiritual,mountains,pilgrimage,tier_1,candidate,High-complexity pilgrimage candidate,pilgrim_region,spiritual,mountains,pilgrimage,,,,,,dedupe_pending
CAND-0042,Badrinath,India,North India,Uttarakhand,Chamoli,pilgrim_town,spiritual,mountains,pilgrimage,tier_1,candidate,High-complexity pilgrimage candidate,pilgrim_town,spiritual,mountains,pilgrimage,,,,,,dedupe_pending
CAND-0043,Yamunotri,India,North India,Uttarakhand,Uttarkashi,pilgrim_region,spiritual,mountains,pilgrimage,tier_2,candidate,Char Dham candidate,pilgrim_region,spiritual,mountains,pilgrimage,,,,,,dedupe_pending
CAND-0044,Gangotri,India,North India,Uttarakhand,Uttarkashi,pilgrim_region,spiritual,mountains,pilgrimage,tier_2,candidate,Char Dham candidate,pilgrim_region,spiritual,mountains,pilgrimage,,,,,,dedupe_pending
CAND-0045,Tehri,India,North India,Uttarakhand,Tehri Garhwal,lake_region,lakes,hills,adventure,tier_2,candidate,Lake/adventure candidate,lake_region,lakes,hills,adventure,,,,,,dedupe_pending
CAND-0046,Kasol,India,North India,Himachal Pradesh,Kullu,hill_town,hills,slow_travel,trekking,tier_2,candidate,Youth/slow travel candidate,hill_town,hills,slow_travel,trekking,,,,,,dedupe_pending
CAND-0047,Tirthan Valley,India,North India,Himachal Pradesh,Kullu,valley,nature,hills,slow_travel,tier_1,candidate,Family/nature candidate,valley,nature,hills,slow_travel,,,,,,dedupe_pending
CAND-0048,Spiti Valley,India,North India,Himachal Pradesh,Lahaul and Spiti,mountain_region,mountains,adventure,culture,tier_1,candidate,High-altitude road trip candidate,mountain_region,mountains,adventure,culture,,,,,,dedupe_pending
CAND-0049,Kinnaur,India,North India,Himachal Pradesh,Kinnaur,mountain_region,mountains,culture,nature,tier_2,candidate,Mountain circuit candidate,mountain_region,mountains,culture,nature,,,,,,dedupe_pending
CAND-0050,Kasauli,India,North India,Himachal Pradesh,Solan,hill_station,hills,weekend,family,tier_1,candidate,NCR/Punjab weekend hill candidate,hill_station,hills,family,,weekend_getaway,,,,vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0051,Chail,India,North India,Himachal Pradesh,Solan,hill_station,hills,slow_travel,family,tier_2,candidate,Shimla alternative candidate,hill_station,hills,slow_travel,family,,,,,,dedupe_pending
CAND-0052,Bir Billing,India,North India,Himachal Pradesh,Kangra,hill_town,adventure,hills,wellness,tier_1,candidate,Paragliding/wellness candidate,hill_town,adventure,hills,wellness,,,,,,dedupe_pending
CAND-0053,Palampur,India,North India,Himachal Pradesh,Kangra,hill_town,tea,hills,slow_travel,tier_2,candidate,Kangra valley candidate,hill_town,tea,hills,slow_travel,,,,,,dedupe_pending
CAND-0054,Kangra,India,North India,Himachal Pradesh,Kangra,heritage_region,heritage,hills,culture,tier_2,candidate,Kangra heritage/hill candidate,heritage_region,heritage,hills,culture,,,,,,dedupe_pending
CAND-0055,Mandi,India,North India,Himachal Pradesh,Mandi,hill_town,hills,culture,gateway,tier_3,candidate,Transit/gateway candidate,hill_town,hills,culture,,,gateway_context,,,vibe:gateway->context,dedupe_pending
CAND-0056,Narkanda,India,North India,Himachal Pradesh,Shimla,hill_town,hills,snow,slow_travel,tier_2,candidate,Apple/snow hill candidate,hill_town,hills,snow,slow_travel,,,,,,dedupe_pending
CAND-0057,McLeod Ganj,India,North India,Himachal Pradesh,Kangra,hill_town,culture,wellness,hills,tier_1,candidate,Dharamshala circuit candidate,hill_town,culture,wellness,hills,,,,,,dedupe_pending
CAND-0058,Patnitop,India,North India,Jammu and Kashmir,Udhampur,hill_station,hills,family,slow_travel,tier_2,candidate,Jammu region hill candidate,hill_station,hills,family,slow_travel,,,,,,dedupe_pending
CAND-0059,Sonamarg,India,North India,Jammu and Kashmir,Ganderbal,mountain_town,mountains,snow,nature,tier_1,candidate,Kashmir mountain candidate,mountain_town,mountains,snow,nature,,,,,,dedupe_pending
CAND-0060,Pahalgam,India,North India,Jammu and Kashmir,Anantnag,mountain_town,mountains,nature,family,tier_1,candidate,Kashmir family/nature candidate,mountain_town,mountains,nature,family,,,,,,dedupe_pending
CAND-0061,Yusmarg,India,North India,Jammu and Kashmir,Budgam,mountain_region,mountains,slow_travel,nature,tier_2,candidate,Kashmir alternative candidate,mountain_region,mountains,slow_travel,nature,,,,,,dedupe_pending
CAND-0062,Doodhpathri,India,North India,Jammu and Kashmir,Budgam,mountain_region,mountains,nature,slow_travel,tier_2,candidate,Kashmir meadow candidate,mountain_region,mountains,nature,slow_travel,,,,,,dedupe_pending
CAND-0063,Kargil,India,North India,Ladakh,Kargil,high_altitude,history,mountains,culture,tier_2,candidate,Ladakh route/history candidate,high_altitude,history,mountains,culture,,,,,,dedupe_pending
CAND-0064,Nubra Valley,India,North India,Ladakh,Leh,valley,mountains,desert,adventure,tier_1,candidate,High-altitude permit candidate,valley,mountains,desert,adventure,,,,,,dedupe_pending
CAND-0065,Pangong Tso,India,North India,Ladakh,Leh,lake_region,lakes,mountains,landscape,tier_1,candidate,High-altitude permit candidate,lake_region,lakes,mountains,landscape,,,,,,dedupe_pending
CAND-0066,Patiala,India,North India,Punjab,Patiala,heritage_city,heritage,food,culture,tier_2,candidate,Punjab heritage candidate,heritage_city,heritage,food,culture,,,,,,dedupe_pending
CAND-0067,Ludhiana,India,North India,Punjab,Ludhiana,city,urban,food,business,tier_3,candidate,Urban/business candidate,city,urban,food,business,,,,,,dedupe_pending
CAND-0068,Anandpur Sahib,India,North India,Punjab,Rupnagar,pilgrim_town,spiritual,history,culture,tier_2,candidate,Sikh pilgrimage candidate,pilgrim_town,spiritual,history,culture,,,,,,dedupe_pending
CAND-0069,Kurukshetra,India,North India,Haryana,Kurukshetra,spiritual_city,spiritual,history,culture,tier_2,candidate,Heritage/spiritual candidate,spiritual_city,spiritual,history,culture,,,,,,dedupe_pending
CAND-0070,Sultanpur Bird Sanctuary,India,North India,Haryana,Gurugram,birding_site,wildlife,birding,nature,tier_2,candidate,NCR birding candidate,birding_site,wildlife,birding,nature,,,,,,dedupe_pending
CAND-0071,Morni Hills,India,North India,Haryana,Panchkula,hill_region,hills,weekend,nature,tier_3,candidate,Regional weekend candidate,hill_region,hills,nature,,weekend_getaway,,,,vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0072,Gurugram,India,North India,Haryana,Gurugram,city,urban,food,business,tier_3,candidate,NCR urban candidate,city,urban,food,business,,,,,,dedupe_pending
CAND-0073,Panchkula,India,North India,Haryana,Panchkula,city,hills,gateway,urban,tier_3,candidate,Chandigarh region candidate,city,hills,urban,,,gateway_context,,,vibe:gateway->context,dedupe_pending
CAND-0074,Indore,India,Central India,Madhya Pradesh,Indore,city,food,urban,gateway,tier_1,candidate,MP urban/food candidate,city,food,urban,,,gateway_context,,,vibe:gateway->context,dedupe_pending
CAND-0075,Ujjain,India,Central India,Madhya Pradesh,Ujjain,spiritual_city,spiritual,pilgrimage,culture,tier_1,candidate,Major pilgrimage candidate,spiritual_city,spiritual,pilgrimage,culture,,,,,,dedupe_pending
CAND-0076,Maheshwar,India,Central India,Madhya Pradesh,Khargone,heritage_town,heritage,river,slow_travel,tier_1,candidate,Narmada heritage candidate,heritage_town,heritage,river,slow_travel,,,,,,dedupe_pending
CAND-0077,Mandu,India,Central India,Madhya Pradesh,Dhar,heritage_site,heritage,architecture,history,tier_1,candidate,MP heritage candidate,heritage_site,heritage,architecture,history,,,,,,dedupe_pending
CAND-0078,Omkareshwar,India,Central India,Madhya Pradesh,Khandwa,pilgrim_town,spiritual,river,pilgrimage,tier_1,candidate,Spiritual/Narmada candidate,pilgrim_town,spiritual,river,pilgrimage,,,,,,dedupe_pending
CAND-0079,Satpura,India,Central India,Madhya Pradesh,Narmadapuram,tiger_reserve,wildlife,safari,nature,tier_1,candidate,Wildlife candidate,tiger_reserve,wildlife,safari,nature,,,,,,dedupe_pending
CAND-0080,Pench,India,Central India,Madhya Pradesh,Seoni,tiger_reserve,wildlife,safari,nature,tier_1,candidate,Wildlife candidate,tiger_reserve,wildlife,safari,nature,,,,,,dedupe_pending
CAND-0081,Jabalpur,India,Central India,Madhya Pradesh,Jabalpur,city_gateway,river,marble,heritage,tier_2,candidate,Bhedaghat/gateway candidate,city_gateway,river,heritage,,,,,,vibe:marble->review_landscape_or_geology_tag,dedupe_pending
CAND-0082,Bhedaghat,India,Central India,Madhya Pradesh,Jabalpur,river_town,river,nature,marble,tier_2,candidate,Narmada/marble rocks candidate,river_town,river,nature,,,,,,vibe:marble->review_landscape_or_geology_tag,dedupe_pending
CAND-0083,Gwalior,India,Central India,Madhya Pradesh,Gwalior,heritage_city,fort,heritage,music,tier_1,candidate,Heritage city candidate,heritage_city,forts,heritage,music,,,,,vibe:fort->forts,dedupe_pending
CAND-0084,Shivpuri,India,Central India,Madhya Pradesh,Shivpuri,heritage_region,nature,heritage,slow_travel,tier_2,candidate,Heritage/nature candidate,heritage_region,nature,heritage,slow_travel,,,,,,dedupe_pending
CAND-0085,Raipur,India,Central India,Chhattisgarh,Raipur,city,urban,gateway,food,tier_3,candidate,Chhattisgarh gateway candidate,city,urban,food,,,gateway_context,,,vibe:gateway->context,dedupe_pending
CAND-0086,Jagdalpur,India,Central India,Chhattisgarh,Bastar,city_gateway,waterfalls,culture,nature,tier_2,candidate,Bastar gateway candidate,city_gateway,waterfalls,culture,nature,,,,,,dedupe_pending
CAND-0087,Chitrakote Falls,India,Central India,Chhattisgarh,Bastar,waterfall_site,waterfalls,nature,river,tier_1,candidate,Major waterfall candidate,waterfall_site,waterfalls,nature,river,,,,,,dedupe_pending
CAND-0088,Kanger Valley,India,Central India,Chhattisgarh,Bastar,national_park,forest,caves,nature,tier_2,candidate,Forest/cave candidate,national_park,forest,caves,nature,,,,,,dedupe_pending
CAND-0089,Bilaspur,India,Central India,Chhattisgarh,Bilaspur,city,urban,gateway,culture,tier_3,candidate,Regional gateway candidate,city,urban,culture,,,gateway_context,,,vibe:gateway->context,dedupe_pending
CAND-0090,Mainpat,India,Central India,Chhattisgarh,Surguja,hill_region,hills,slow_travel,nature,tier_2,candidate,Chhattisgarh hill candidate,hill_region,hills,slow_travel,nature,,,,,,dedupe_pending
CAND-0091,Alibaug,India,West India,Maharashtra,Raigad,beach_town,beach,weekend,family,tier_1,candidate,Mumbai weekend coast candidate,beach_town,beach,family,,weekend_getaway,,,,vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0092,Matheran,India,West India,Maharashtra,Raigad,hill_station,hills,weekend,family,tier_1,candidate,Mumbai/Pune hill candidate,hill_station,hills,family,,weekend_getaway,,,,vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0093,Igatpuri,India,West India,Maharashtra,Nashik,hill_region,hills,weekend,nature,tier_2,candidate,Mumbai/Nashik hill candidate,hill_region,hills,nature,,weekend_getaway,,,,vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0094,Bhandardara,India,West India,Maharashtra,Ahmednagar,lake_region,lakes,hills,nature,tier_2,candidate,Lake/nature candidate,lake_region,lakes,hills,nature,,,,,,dedupe_pending
CAND-0095,Tadoba,India,West India,Maharashtra,Chandrapur,tiger_reserve,wildlife,safari,nature,tier_1,candidate,Wildlife candidate,tiger_reserve,wildlife,safari,nature,,,,,,dedupe_pending
CAND-0096,Tarkarli,India,West India,Maharashtra,Sindhudurg,beach_town,beach,water,slow_travel,tier_1,candidate,Konkan beach candidate,beach_town,beach,water,slow_travel,,,,,,dedupe_pending
CAND-0097,Ganpatipule,India,West India,Maharashtra,Ratnagiri,beach_town,beach,spiritual,family,tier_1,candidate,Konkan beach/pilgrim candidate,beach_town,beach,spiritual,family,,,,,,dedupe_pending
CAND-0098,Ratnagiri,India,West India,Maharashtra,Ratnagiri,coastal_town,coast,food,heritage,tier_2,candidate,Konkan coast candidate,coastal_town,coast,food,heritage,,,,,,dedupe_pending
CAND-0099,Kolhapur,India,West India,Maharashtra,Kolhapur,heritage_city,food,spiritual,heritage,tier_1,candidate,Food/heritage candidate,heritage_city,food,spiritual,heritage,,,,,,dedupe_pending
CAND-0100,Shirdi,India,West India,Maharashtra,Ahmednagar,pilgrim_town,spiritual,pilgrimage,family,tier_1,candidate,Pilgrimage candidate,pilgrim_town,spiritual,pilgrimage,family,,,,,,dedupe_pending
CAND-0101,Ajanta Caves,India,West India,Maharashtra,Aurangabad,cave_heritage_site,heritage,caves,buddhist,tier_1,candidate,UNESCO-style heritage candidate,cave_heritage_site,heritage,caves,buddhist,,,,,,dedupe_pending
CAND-0102,Ellora Caves,India,West India,Maharashtra,Aurangabad,cave_heritage_site,heritage,caves,architecture,tier_1,candidate,UNESCO-style heritage candidate,cave_heritage_site,heritage,caves,architecture,,,,,,dedupe_pending
CAND-0103,Statue of Unity,India,West India,Gujarat,Narmada,heritage_site,architecture,family,weekend,tier_1,candidate,Large family attraction candidate,heritage_site,architecture,family,,weekend_getaway,,,,vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0104,Saputara,India,West India,Gujarat,Dang,hill_station,hills,family,nature,tier_1,candidate,Gujarat hill candidate,hill_station,hills,family,nature,,,,,,dedupe_pending
CAND-0105,Somnath,India,West India,Gujarat,Gir Somnath,pilgrim_coastal_town,spiritual,coast,pilgrimage,tier_1,candidate,Pilgrimage/coast candidate,pilgrim_coastal_town,spiritual,coast,pilgrimage,,,,,,dedupe_pending
CAND-0106,Porbandar,India,West India,Gujarat,Porbandar,coastal_town,history,coast,culture,tier_2,candidate,Gujarat coast/history candidate,coastal_town,history,coast,culture,,,,,,dedupe_pending
CAND-0107,Vadodara,India,West India,Gujarat,Vadodara,heritage_city,palace,culture,food,tier_1,candidate,Urban heritage candidate,heritage_city,palace,culture,food,,,,,,dedupe_pending
CAND-0108,Champaner-Pavagadh,India,West India,Gujarat,Panchmahal,heritage_site,heritage,architecture,spiritual,tier_1,candidate,Heritage/spiritual candidate,heritage_site,heritage,architecture,spiritual,,,,,,dedupe_pending
CAND-0109,Surat,India,West India,Gujarat,Surat,city,food,shopping,urban,tier_2,candidate,Urban/food candidate,city,food,shopping,urban,,,,,,dedupe_pending
CAND-0110,Junagadh,India,West India,Gujarat,Junagadh,heritage_city,history,spiritual,gateway,tier_2,candidate,Gir/Somnath circuit candidate,heritage_city,history,spiritual,,,gateway_context,,,vibe:gateway->context,dedupe_pending
CAND-0111,Panaji,India,West India,Goa,North Goa,city,coast,food,culture,tier_1,candidate,Goa city/culture candidate,city,coast,food,culture,,,,,,dedupe_pending
